** net setting **
** dataset setting **
	WIDTH, HEIGHT = 256, 256
	train_dataset.split = purple_108
	valid_dataset.split = valid1_ids_gray2_43
	len(train_dataset)  = 108
	len(valid_dataset)  = 43
	len(train_loader)   = 13
	len(valid_loader)   = 6
	batch_size  = 8
	iter_accum  = 1
	batch_size*iter_accum  = 8


--- [START 2018-03-28_07-17-35] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	out_dir      = /scratch/ly15/a001_2018-3-21_lr0.001_W256_H256_bc8_purple_108_valid1_ids_gray2_43

** net setting **
net version 'mask-rcnn-resnet50-fpn'

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 108

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
0.0010   2.5 k  185.2  0.0 m | 2.753   0.43 0.16   1.49 0.00   0.67 | 0.908   0.05 0.07   0.49 0.04   0.26 | 0.927   0.05 0.06   0.51 0.04   0.27 |  6 hr 17 min
0.0010   2.6 k  192.6  0.0 m | 2.334   0.36 0.15   1.25 0.01   0.58 | 0.881   0.05 0.07   0.47 0.03   0.26 | 0.993   0.08 0.06   0.57 0.03   0.25 |  6 hr 33 min
0.0010   2.7 k  200.0  0.0 m | 2.479   0.37 0.15   1.42 0.00   0.53 | 0.900   0.05 0.07   0.50 0.04   0.25 | 0.884   0.05 0.07   0.45 0.03   0.27 |  6 hr 50 min
0.0010   2.8 k  207.4  0.0 m | 2.335   0.43 0.15   1.26 0.00   0.49 | 0.919   0.06 0.06   0.50 0.03   0.26 | 0.976   0.06 0.06   0.53 0.03   0.29 |  7 hr 07 min
0.0010   2.9 k  214.8  0.0 m | 2.167   0.34 0.14   1.12 0.01   0.56 | 0.872   0.06 0.06   0.47 0.03   0.25 | 0.855   0.01 0.06   0.51 0.03   0.24 |  7 hr 23 min
0.0010   3.0 k  222.2  0.0 m | 2.091   0.63 0.21   0.80 0.01   0.44 | 0.896   0.06 0.06   0.48 0.04   0.26 | 0.898   0.06 0.06   0.49 0.04   0.25 |  7 hr 39 min
0.0010   3.1 k  229.6  0.0 m | 2.210   0.34 0.15   1.19 0.01   0.53 | 0.906   0.06 0.06   0.49 0.03   0.26 | 0.870   0.06 0.06   0.42 0.03   0.30 |  7 hr 56 min
0.0010   3.2 k  237.0  0.0 m | 2.157   0.37 0.14   1.14 0.01   0.51 | 0.883   0.06 0.06   0.48 0.03   0.25 | 0.955   0.06 0.06   0.56 0.03   0.24 |  8 hr 12 min
0.0010   3.3 k  244.4  0.0 m | 1.769   0.35 0.14   0.79 0.00   0.48 | 0.858   0.05 0.06   0.47 0.03   0.24 | 0.825   0.06 0.06   0.45 0.03   0.23 |  8 hr 29 min
0.0010   3.4 k  251.9  0.0 m | 1.757   0.49 0.18   0.59 0.01   0.49 | 0.893   0.07 0.06   0.50 0.03   0.23 | 0.971   0.07 0.06   0.54 0.04   0.26 |  8 hr 46 min
0.0010   3.5 k  259.3  0.0 m | 2.392   0.49 0.14   1.19 0.01   0.56 | 0.859   0.05 0.06   0.47 0.03   0.25 | 0.815   0.05 0.06   0.41 0.03   0.26 |  9 hr 03 min
0.0010   3.6 k  266.7  0.0 m | 2.148   0.38 0.14   1.13 0.00   0.50 | 0.886   0.05 0.06   0.49 0.03   0.25 | 0.911   0.05 0.07   0.49 0.04   0.27 |  9 hr 19 min
0.0010   3.7 k  274.1  0.0 m | 2.210   0.31 0.14   1.20 0.01   0.56 | 0.850   0.05 0.07   0.44 0.03   0.26 | 0.874   0.05 0.06   0.48 0.03   0.26 |  9 hr 47 min
0.0010   3.8 k  281.5  0.0 m | 1.969   0.47 0.15   0.81 0.01   0.54 | 0.876   0.05 0.06   0.48 0.03   0.26 | 0.857   0.05 0.06   0.48 0.03   0.24 | 10 hr 11 min
0.0010   3.9 k  288.9  0.0 m | 1.704   0.42 0.13   0.69 0.01   0.46 | 0.880   0.06 0.06   0.49 0.03   0.24 | 0.761   0.04 0.06   0.40 0.03   0.23 | 10 hr 38 min
0.0010   4.0 k  296.3  0.0 m | 1.928   0.45 0.15   0.81 0.01   0.51 | 0.872   0.05 0.06   0.50 0.03   0.24 | 0.805   0.05 0.06   0.45 0.03   0.22 | 11 hr 01 min
0.0010   4.1 k  303.7  0.0 m | 1.932   0.35 0.13   0.93 0.01   0.51 | 0.853   0.05 0.06   0.46 0.03   0.25 | 0.808   0.05 0.05   0.44 0.03   0.24 | 11 hr 23 min
