** net setting **
** dataset setting **
	WIDTH, HEIGHT = 256, 256
	train_dataset.split = train1_ids_gray2_500
	valid_dataset.split = valid1_ids_gray2_43
	len(train_dataset)  = 500
	len(valid_dataset)  = 43
	len(train_loader)   = 62
	len(valid_loader)   = 6
	batch_size  = 8
	iter_accum  = 1
	batch_size*iter_accum  = 8


--- [START 2018-03-28_07-17-35] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	out_dir      = /scratch/ly15/a000_2018-3-21_lr0.001_W256_H256_bc8_train1_ids_gray2_500_valid1_ids_gray2_43

** net setting **
net version 'mask-rcnn-resnet50-fpn'

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 500

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
0.0010   2.4 k   38.4  0.0 m | 0.624   0.03 0.03   0.38 0.01   0.17 | 0.720   0.04 0.06   0.40 0.02   0.20 | 0.597   0.04 0.05   0.31 0.02   0.18 |  5 hr 27 min
0.0010   2.5 k   40.0  0.0 m | 0.714   0.03 0.03   0.47 0.01   0.17 | 0.839   0.04 0.05   0.49 0.03   0.23 | 0.781   0.05 0.06   0.40 0.02   0.25 |  5 hr 40 min
0.0010   2.6 k   41.6  0.0 m | 0.708   0.03 0.03   0.45 0.01   0.18 | 0.714   0.04 0.06   0.40 0.02   0.20 | 0.822   0.06 0.06   0.45 0.02   0.24 |  5 hr 54 min
0.0010   2.7 k   43.2  0.0 m | 0.607   0.03 0.03   0.36 0.01   0.17 | 0.679   0.04 0.05   0.38 0.02   0.19 | 0.677   0.05 0.05   0.37 0.02   0.18 |  6 hr 09 min
0.0010   2.8 k   44.8  0.0 m | 0.661   0.03 0.03   0.40 0.01   0.18 | 0.716   0.04 0.05   0.40 0.02   0.21 | 0.664   0.04 0.05   0.37 0.02   0.19 |  6 hr 23 min
0.0010   2.9 k   46.4  0.0 m | 0.600   0.03 0.03   0.36 0.01   0.17 | 0.667   0.03 0.05   0.38 0.02   0.18 | 0.796   0.04 0.05   0.47 0.02   0.22 |  6 hr 38 min
0.0010   3.0 k   48.0  0.0 m | 0.722   0.03 0.03   0.47 0.01   0.18 | 0.721   0.04 0.05   0.41 0.02   0.20 | 0.688   0.05 0.06   0.35 0.02   0.20 |  6 hr 53 min
0.0010   3.1 k   49.6  0.0 m | 0.630   0.03 0.03   0.40 0.01   0.17 | 0.674   0.04 0.05   0.37 0.02   0.19 | 0.635   0.05 0.06   0.33 0.02   0.18 |  7 hr 07 min
0.0010   3.2 k   51.2  0.0 m | 0.636   0.03 0.03   0.39 0.01   0.17 | 0.661   0.03 0.05   0.37 0.02   0.19 | 0.706   0.04 0.05   0.41 0.02   0.19 |  7 hr 22 min
0.0010   3.3 k   52.8  0.0 m | 0.635   0.03 0.03   0.41 0.01   0.15 | 0.722   0.04 0.05   0.41 0.02   0.20 | 0.588   0.03 0.05   0.32 0.02   0.16 |  7 hr 38 min
0.0010   3.4 k   54.4  0.0 m | 0.655   0.03 0.03   0.41 0.01   0.17 | 0.627   0.04 0.05   0.35 0.02   0.18 | 0.744   0.05 0.05   0.42 0.02   0.20 |  7 hr 53 min
0.0010   3.5 k   56.0  0.0 m | 0.606   0.03 0.03   0.38 0.01   0.15 | 0.668   0.03 0.05   0.38 0.02   0.19 | 0.792   0.03 0.05   0.47 0.02   0.22 |  8 hr 08 min
0.0010   3.6 k   57.6  0.0 m | 0.613   0.03 0.03   0.38 0.01   0.16 | 0.681   0.04 0.05   0.38 0.02   0.19 | 0.584   0.05 0.04   0.32 0.02   0.16 |  8 hr 23 min
0.0010   3.7 k   59.2  0.0 m | 0.602   0.03 0.03   0.38 0.01   0.16 | 0.663   0.03 0.05   0.38 0.02   0.19 | 0.667   0.01 0.05   0.40 0.02   0.19 |  8 hr 38 min
0.0010   3.8 k   60.8  0.0 m | 0.561   0.03 0.03   0.34 0.01   0.15 | 0.688   0.03 0.05   0.40 0.02   0.19 | 0.727   0.03 0.05   0.42 0.02   0.21 |  8 hr 52 min
0.0010   3.9 k   62.4  0.0 m | 0.595   0.03 0.03   0.37 0.01   0.16 | 0.666   0.03 0.05   0.38 0.02   0.19 | 0.522   0.03 0.04   0.28 0.01   0.16 |  9 hr 07 min
0.0010   4.0 k   64.0  0.0 m | 0.544   0.03 0.03   0.33 0.01   0.15 | 0.664   0.04 0.05   0.37 0.02   0.19 | 0.612   0.03 0.04   0.36 0.02   0.16 |  9 hr 22 min
